,name,link
0,Las Vegas Challenge,https://www.pdga.com/tour/event/47877
1,Waco Annual Charity Open,https://www.pdga.com/tour/event/48685
2,Jonesboro Open,https://www.pdga.com/tour/event/48567
3,OTB Open,https://www.pdga.com/tour/event/48172
4,The Preserve Championship,https://www.pdga.com/tour/event/48687
5,Portland Open,https://www.pdga.com/tour/event/48686
6,Discraft Great Lakes Open ,https://www.pdga.com/tour/event/48338
7,Idlewild Open,https://www.pdga.com/tour/event/48688
8,Discraft Ledgestone Insurance Open,https://www.pdga.com/tour/event/47981
9,MVP Open at Maple Hill,https://www.pdga.com/tour/event/49214
10,Green Mountain Championships,https://www.pdga.com/tour/event/48690
11,Japan Open 1990,https://www.pdga.com/tour/event/18809
12,1990 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/85
13,1991 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/90
14,1992 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/230
15,1993 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/362
16,1993 Japan Open,https://www.pdga.com/tour/event/18969
17,1994 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/615
18,1995 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/814
19,1996 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/1040
20,1997 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/1304
21,1998 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/1571
22,1999 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/1871
23,United States Disc Golf Championships,https://www.pdga.com/tour/event/1935
24,Womens National Championships,https://www.pdga.com/tour/event/1936
25,2000 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/2211
26,2000 United States Masters Championship,https://www.pdga.com/tour/event/2243
27,United States Disc Golf Championship,https://www.pdga.com/tour/event/2271
28,Women's National Disc Golf Championship,https://www.pdga.com/tour/event/2346
29,2001 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/2642
30,US Masters Disc Golf Championship,https://www.pdga.com/tour/event/2663
31,United States Disc Golf Championship,https://www.pdga.com/tour/event/2734
32,US Womens Disc Golf Championship,https://www.pdga.com/tour/event/2735
33,US Masters Disc Golf Championship,https://www.pdga.com/tour/event/2981
34,2002 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/3063
35,2002 Japan Open (150 Class),https://www.pdga.com/tour/event/3125
36,US Womens Disc Golf Championship,https://www.pdga.com/tour/event/3127
37,United States Disc Golf Championship,https://www.pdga.com/tour/event/3170
38,Golden State Classic,https://www.pdga.com/tour/event/3378
39,The Memorial,https://www.pdga.com/tour/event/3377
40,2003 PDGA Professional World Championships Doubles,https://www.pdga.com/tour/event/3576
41,13th Melbourne Open,https://www.pdga.com/tour/event/3427
42,Seneca Creek Soiree,https://www.pdga.com/tour/event/3425
43,Bell South Open,https://www.pdga.com/tour/event/3454
44,DG Hall of Fame Classic,https://www.pdga.com/tour/event/3484
45,Discraft Great Lakes Open,https://www.pdga.com/tour/event/3556
46,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/3563
47,11th Mad City Open,https://www.pdga.com/tour/event/3601
48,Minnesota Majestic,https://www.pdga.com/tour/event/3605
49,21st Kansas City Wide Open,https://www.pdga.com/tour/event/3599
50,2003 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/3659
51,US Womens Disc Golf Championships,https://www.pdga.com/tour/event/3742
52,United States Disc Golf Championship,https://www.pdga.com/tour/event/3801
53,The Memorial Presented by Discraft,https://www.pdga.com/tour/event/3988
54,Waco Charity Open,https://www.pdga.com/tour/event/3990
55,2004 PDGA Professional World Championships Doubles,https://www.pdga.com/tour/event/3991
56,Melbourne Open,https://www.pdga.com/tour/event/3993
57,Bell South Open,https://www.pdga.com/tour/event/3998
58,Dogwood Crosstown Classic,https://www.pdga.com/tour/event/3999
59,Masters Cup,https://www.pdga.com/tour/event/4002
60,Golden State Classic,https://www.pdga.com/tour/event/4003
61,Kansas City Wide Open,https://www.pdga.com/tour/event/4007
62,Discraft Great Lakes Open,https://www.pdga.com/tour/event/4011
63,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/4016
64,Minnesota Majestic,https://www.pdga.com/tour/event/4019
65,2004 PDGA Professional World Championships Mixed Doubles,https://www.pdga.com/tour/event/4357
66,2004 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/4024
67,2004 Japan Open (150 Class),https://www.pdga.com/tour/event/4028
68,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/4032
69,United States Disc Golf Championship,https://www.pdga.com/tour/event/4038
70,United States Masters Disc Golf Championships,https://www.pdga.com/tour/event/4043
71,The Memorial,https://www.pdga.com/tour/event/4625
72,2005 PDGA Professional World Championships Doubles,https://www.pdga.com/tour/event/4627
73,Melbourne Open,https://www.pdga.com/tour/event/4633
74,Bell South Open,https://www.pdga.com/tour/event/4635
75,Disc Golf Hall of Fame Classic,https://www.pdga.com/tour/event/4636
76,21st Dogwood Crosstown Classic,https://www.pdga.com/tour/event/4637
77,Waco Charity Open,https://www.pdga.com/tour/event/4657
78,Golden State Classic,https://www.pdga.com/tour/event/4638
79,Masters Cup,https://www.pdga.com/tour/event/4661
80,huk lab Beaver State Fling,https://www.pdga.com/tour/event/4663
81,Kansas City Wide Open,https://www.pdga.com/tour/event/4639
82,Greater Des Moines Challenge,https://www.pdga.com/tour/event/4641
83,Discraft Great Lakes Open,https://www.pdga.com/tour/event/4643
84,US Mid-Nationals Championships,https://www.pdga.com/tour/event/4709
85,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/4669
86,2005 PDGA Professional World Championships Mixed Doubles,https://www.pdga.com/tour/event/5311
87,2005 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/4645
88,Skylands Classic at Warwick,https://www.pdga.com/tour/event/4672
89,United States Masters Disc Golf Championships,https://www.pdga.com/tour/event/4714
90,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/4650
91,United States Disc Golf Championship,https://www.pdga.com/tour/event/4699
92,The Memorial,https://www.pdga.com/tour/event/5452
93,2006 PDGA Professional World Championships Doubles,https://www.pdga.com/tour/event/5463
94,Melbourne Open,https://www.pdga.com/tour/event/5453
95,Bowling Green Open,https://www.pdga.com/tour/event/5454
96,FlyNHighDiscGolf.com's 11th Texas State Championships,https://www.pdga.com/tour/event/5455
97,Golden State Classic,https://www.pdga.com/tour/event/5456
98,Steady Ed Memorial Masters Cup,https://www.pdga.com/tour/event/5457
99,Beaver State Fling,https://www.pdga.com/tour/event/5458
100,Kansas City Wide Open,https://www.pdga.com/tour/event/5459
101,2006 Japan Open (150 Class),https://www.pdga.com/tour/event/5506
102,Discraft Great Lakes Open,https://www.pdga.com/tour/event/5460
103,US Mid-Nationals Championships,https://www.pdga.com/tour/event/5511
104,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/5461
105,Skylands Classic at Warwick,https://www.pdga.com/tour/event/5462
106,2006 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/5514
107,European Open,https://www.pdga.com/tour/event/5485
108,United States Amateur Disc Golf Championship,https://www.pdga.com/tour/event/5520
109,United States Masters Disc Golf Championships,https://www.pdga.com/tour/event/5521
110,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/5524
111,United States Disc Golf Championship,https://www.pdga.com/tour/event/5528
112,The Players Cup,https://www.pdga.com/tour/event/5879
113,The Memorial presented by Discraft,https://www.pdga.com/tour/event/6263
114,Bowling Green Open,https://www.pdga.com/tour/event/6265
115,Disc Golf Hall of Fame Classic,https://www.pdga.com/tour/event/6266
116,Golden State Classic,https://www.pdga.com/tour/event/6267
117,Steady Ed Memorial Masters Cup,https://www.pdga.com/tour/event/6268
118,Beaver State Fling,https://www.pdga.com/tour/event/6269
119,Discraft Great Lakes Open,https://www.pdga.com/tour/event/6270
120,Kansas City Wide Open,https://www.pdga.com/tour/event/6271
121,Canadian Open,https://www.pdga.com/tour/event/6272
122,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/6273
123,2007 PDGA Professional World Championships Doubles,https://www.pdga.com/tour/event/6278
