,Place,Points,Name,PDGA#,Rating,Par,Rd1,Unnamed: 7,Rd2,Unnamed: 9,Rd3,Unnamed: 11,Finals,Unnamed: 13,Total,Prize,event,Rd4,Unnamed: 4,Unnamed: 6,Unnamed: 8,Semis,Unnamed: 10,Unnamed: 12,Prize (USD),Rd5,Rd6,Unnamed: 14,Rd7,Unnamed: 16,Rd8,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 5,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Unnamed: 24
0,1,1360.0,Eagle Wynne McMahon,37817.0,1050.0,-48,48,1071.0,50.0,1066.0,49.0,1079.0,49.0,1090.0,196,"$5,500",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1350.0,Calvin Heimburg,45971.0,1051.0,-40,47,1080.0,50.0,1066.0,51.0,1062.0,56.0,1036.0,204,"$3,125",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1350.0,Ezra Aderhold,121715.0,1016.0,-40,49,1063.0,46.0,1099.0,58.0,1005.0,51.0,1075.0,204,"$3,125",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1330.0,Garrett Gurthie,13864.0,1035.0,-38,49,1063.0,50.0,1066.0,57.0,1013.0,50.0,1082.0,206,"$2,250",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1320.0,Richard Wysocki,38008.0,1054.0,-37,49,1063.0,52.0,1050.0,52.0,1054.0,54.0,1052.0,207,"$1,750",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1310.0,Drew Gibson,48346.0,1035.0,-36,54,1019.0,51.0,1058.0,50.0,1071.0,53.0,1059.0,208,"$1,500",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1300.0,Brian Earhart,45879.0,1013.0,-35,56,1002.0,49.0,1075.0,51.0,1062.0,53.0,1059.0,209,"$1,350",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1300.0,Kevin Jones,41760.0,1034.0,-35,53,1028.0,53.0,1041.0,53.0,1046.0,50.0,1082.0,209,"$1,350",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1280.0,Paul McBeth,27523.0,1053.0,-34,48,1071.0,49.0,1075.0,54.0,1038.0,59.0,1013.0,210,"$1,200",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1270.0,Clint Calvin,84958.0,1021.0,-32,50,1054.0,51.0,1058.0,54.0,1038.0,57.0,1029.0,212,"$1,100",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1260.0,Paul Ulibarri,27171.0,1026.0,-31,51,1045.0,55.0,1025.0,52.0,1054.0,55.0,1044.0,213,"$1,025",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1260.0,James Conrad,17295.0,1029.0,-31,49,1063.0,53.0,1041.0,52.0,1054.0,59.0,1013.0,213,"$1,025",Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
12,13,1240.0,Colten Montgomery,35876.0,1019.0,-30,53,1028.0,53.0,1041.0,54.0,1038.0,54.0,1052.0,214,$950,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
13,14,1230.0,Adam Hammes,57365.0,1040.0,-29,55,1010.0,51.0,1058.0,52.0,1054.0,57.0,1029.0,215,$900,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
14,15,1220.0,Thomas Gilbert,85850.0,1019.0,-28,54,1019.0,53.0,1041.0,55.0,1030.0,54.0,1052.0,216,$850,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
15,16,1210.0,Jeremy Koling,33705.0,1028.0,-27,54,1019.0,49.0,1075.0,57.0,1013.0,57.0,1029.0,217,$850,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
16,17,1200.0,Terry Rothlisberger,57493.0,1016.0,-26,52,1036.0,58.0,1000.0,54.0,1038.0,54.0,1052.0,218,$800,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
17,17,1200.0,Nathan Sexton,18824.0,1042.0,-26,54,1019.0,54.0,1033.0,51.0,1062.0,59.0,1013.0,218,$800,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
18,19,1180.0,Philo Brathwaite,26416.0,1030.0,-25,54,1019.0,56.0,1016.0,54.0,1038.0,55.0,1044.0,219,$750,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
19,19,1180.0,Mason Ford,72844.0,1025.0,-25,54,1019.0,52.0,1050.0,56.0,1022.0,57.0,1029.0,219,$750,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
20,21,1160.0,Eric Oakley,53565.0,1023.0,-24,53,1028.0,55.0,1025.0,53.0,1046.0,59.0,1013.0,220,$700,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
21,21,1160.0,Cale Leiviska,24341.0,1034.0,-24,53,1028.0,53.0,1041.0,53.0,1046.0,61.0,998.0,220,$700,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
22,21,1160.0,Nathan Queen,68286.0,1026.0,-24,58,984.0,54.0,1033.0,52.0,1054.0,56.0,1036.0,220,$700,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
23,24,1130.0,Chris Clemons,50401.0,1028.0,-23,54,1019.0,53.0,1041.0,53.0,1046.0,61.0,998.0,221,$650,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
24,25,1120.0,Brodie Smith,128378.0,999.0,-22,52,1036.0,54.0,1033.0,56.0,1022.0,60.0,1006.0,222,$650,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
25,26,1110.0,Austin Hoop,72423.0,1026.0,-21,50,1054.0,56.0,1016.0,57.0,1013.0,60.0,1006.0,223,$600,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
26,26,1110.0,Chris Pinegar,74719.0,1008.0,-21,54,1019.0,53.0,1041.0,58.0,1005.0,58.0,1021.0,223,$600,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
27,26,1110.0,Raven Newsom,88212.0,1013.0,-21,54,1019.0,57.0,1008.0,55.0,1030.0,57.0,1029.0,223,$600,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
28,29,1080.0,Zackeriath Johnson,50312.0,1004.0,-20,51,1045.0,57.0,1008.0,55.0,1030.0,61.0,998.0,224,$570,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
29,29,1080.0,Scott Withers,38464.0,1040.0,-20,53,1028.0,58.0,1000.0,53.0,1046.0,60.0,1006.0,224,$570,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
30,29,1080.0,Alex Russell,66362.0,1021.0,-20,55,1010.0,56.0,1016.0,52.0,1054.0,61.0,998.0,224,$570,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
31,29,1080.0,Matt Bell,48950.0,1018.0,-20,52,1036.0,57.0,1008.0,57.0,1013.0,58.0,1021.0,224,$570,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
32,29,1080.0,Cole Redalen,79748.0,1006.0,-20,61,958.0,55.0,1025.0,54.0,1038.0,54.0,1052.0,224,$570,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
33,34,1030.0,Jordan Castro,49431.0,1015.0,-19,51,1045.0,56.0,1016.0,56.0,1022.0,62.0,990.0,225,$520,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
34,34,1030.0,Levi Hancock,103050.0,997.0,-19,50,1054.0,53.0,1041.0,55.0,1030.0,67.0,952.0,225,$520,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
35,34,1030.0,Connor O'Reilly,99648.0,1013.0,-19,54,1019.0,58.0,1000.0,58.0,1005.0,55.0,1044.0,225,$520,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
36,34,1030.0,Aaron Gossage,35449.0,1013.0,-19,51,1045.0,55.0,1025.0,59.0,997.0,60.0,1006.0,225,$520,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
37,34,1030.0,Anthony Barela,44382.0,1029.0,-19,55,1010.0,56.0,1016.0,52.0,1054.0,62.0,990.0,225,$520,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
38,39,980.0,Dallin Blanchard,72707.0,1036.0,-18,53,1028.0,56.0,1016.0,57.0,1013.0,60.0,1006.0,226,$500,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
39,39,980.0,Justin Bunnell,20827.0,1013.0,-18,54,1019.0,56.0,1016.0,54.0,1038.0,62.0,990.0,226,$500,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
40,39,980.0,Chris Blanchard,72709.0,994.0,-18,52,1036.0,55.0,1025.0,59.0,997.0,60.0,1006.0,226,$500,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
41,42,950.0,Alan Wagner,28550.0,999.0,-16,59,976.0,55.0,1025.0,56.0,1022.0,58.0,1021.0,228,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
42,43,940.0,Andrew Presnell,63765.0,1030.0,-15,54,1019.0,58.0,1000.0,58.0,1005.0,59.0,1013.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
43,43,940.0,Kyle Klein,85132.0,1025.0,-15,54,1019.0,61.0,975.0,55.0,1030.0,59.0,1013.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
44,43,940.0,Ian Burchett,60435.0,983.0,-15,52,1036.0,60.0,983.0,54.0,1038.0,63.0,983.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
45,43,940.0,Casey White,81739.0,1013.0,-15,54,1019.0,57.0,1008.0,56.0,1022.0,62.0,990.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
46,43,940.0,Sam Drummond,100689.0,998.0,-15,55,1010.0,55.0,1025.0,53.0,1046.0,66.0,959.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
47,43,940.0,Benjamin Callaway,39015.0,1006.0,-15,54,1019.0,54.0,1033.0,59.0,997.0,62.0,990.0,229,$450,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
48,49,880.0,James Beckner,49519.0,997.0,-14,53,1028.0,55.0,1025.0,62.0,973.0,60.0,1006.0,230,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
49,49,880.0,Nicholas Carl,82935.0,988.0,-14,57,993.0,56.0,1016.0,54.0,1038.0,63.0,983.0,230,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
