Name,PDGA #,Rating,Year,Gender,Class,Division,Country,State/Province,Events,Points,Cash
R. Wysocki,38008,1055,2021,Male,Pro,Open,United States,South Carolina,17,21245,52245.00
P. McBeth,27523,1053,2021,Male,Pro,Open,United States,California,18,21817,50963.00
P. Pierce,29190,988,2021,Female,Pro,Open Women,United States,Texas,18,3753,45676.00
E. McMahon,37817,1055,2021,Male,Pro,Open,United States,Colorado,14,17760,45465.00
C. Heimburg,45971,1049,2021,Male,Pro,Open,United States,Florida,18,21385,39600.00
K. Klein,85132,1038,2021,Male,Pro,Open,United States,Michigan,23,22005,37947.00
C. Allen,44184,972,2021,Female,Pro,Open Women,United States,Minnesota,20,4095,36639.00
J. Conrad,17295,1037,2021,Male,Pro,Open,United States,Virginia,21,21655,36200.00
K. Jones,41760,1038,2021,Male,Pro,Open,United States,Arkansas,21,22010,29345.00
A. Hammes,57365,1038,2021,Male,Pro,Open,United States,Wisconsin,19,20795,27380.00
C. Dickerson,62467,1045,2021,Male,Pro,Open,United States,Tennessee,24,17475,26348.00
H. King,81351,967,2021,Female,Pro,Open Women,United States,Wisconsin,15,3498,25080.00
M. Gannon,85942,953,2021,Female,Pro,Open Women,United States,New York,20,3768,22720.00
M. Orum,18330,1039,2021,Male,Pro,Open,United States,Alabama,20,13110,22414.00
D. Gibson,48346,1033,2021,Male,Pro,Open,United States,California,16,17795,20365.00
L. Fajkus,32654,946,2021,Female,Pro,Open Women,United States,Texas,21,3459,19237.00
N. Locastro,11534,1031,2021,Male,Pro,Open,United States,Missouri,18,19437,18856.00
J. Freeman,69509,1030,2021,Male,Pro,Open,United States,Colorado,22,20792,18778.00
S. Hokom,34563,963,2021,Female,Pro,Open Women,United States,Idaho,16,2725,17732.00
O. Scoggins,48976,960,2021,Female,Pro,Open Women,United States,California,20,3096,17717.00
G. Gurthie,13864,1030,2021,Male,Pro,Open,United States,Florida,23,23315,17680.00
A. Marwede,75590,1025,2021,Male,Pro,Open,United States,Michigan,22,15172,17617.00
E. Keith,47472,1026,2021,Male,Pro,Open,United States,Texas,24,18075,16756.00
C. Leiviska,24341,1036,2021,Male,Pro,Open,United States,Minnesota,14,12320,16562.00
A. Presnell,63765,1027,2021,Male,Pro,Open,United States,Missouri,27,18552,16526.00
J. Weese,50656,948,2021,Female,Pro,Open Women,United States,California,23,3619,16443.00
E. Aderhold,121715,1024,2021,Male,Pro,Open,United States,South Dakota,22,21412,16237.00
K. Tattar,73986,976,2021,Female,Pro,Open Women,Estonia,,12,1554,16083.00
P. Ulibarri,27171,1029,2021,Male,Pro,Open,United States,Arizona,23,18955,15879.00
N. Sexton,18824,1037,2021,Male,Pro,Open,United States,Washington,10,11430,15412.00
G. Rathbun,60436,1026,2021,Male,Pro,Open,United States,Illinois,22,19635,15354.00
N. Queen,68286,1027,2021,Male,Pro,Open,United States,North Carolina,26,22035,15289.00
M. Ford,72844,1029,2021,Male,Pro,Open,United States,Texas,21,17440,14727.00
T. Rothlisberger,57493,1017,2021,Male,Pro,Open,United States,Minnesota,23,16902,14480.00
S. Withers,38464,1037,2021,Male,Pro,Open,United States,Oregon,25,12642,14299.00
A. Barela,44382,1030,2021,Male,Pro,Open,United States,Arizona,21,16457,13980.00
G. Barsby,15857,1024,2021,Male,Pro,Open,United States,California,17,16177,13941.00
C. Ellis,44512,1019,2021,Male,Pro,Open,United States,West Virginia,18,10882,13815.00
B. Williams,31644,1024,2021,Male,Pro,Open,United States,Texas,20,14855,13581.00
R. Newsom,88212,1019,2021,Male,Pro,Open,United States,North Carolina,26,21267,13316.00
C. Fry,25541,1026,2021,Male,Pro,Open,United States,Washington,23,19002,13266.00
K. Panis,27832,938,2021,Female,Pro,Open Women,United States,California,19,3252,12818.00
C. White,81739,1020,2021,Male,Pro,Open,United States,Massachusetts,21,18847,12735.00
J. Proctor,34250,1037,2021,Male,Pro,Open,United States,Washington,19,11247,12675.00
C. Clemons,50401,1028,2021,Male,Pro,Open,United States,Missouri,18,19460,12220.00
M. Bell,48950,1022,2021,Male,Pro,Open,United States,California,20,17815,11806.00
G. Hancock,49885,1012,2021,Male,Pro,Open,United States,Texas,32,12167,11664.00
J. Koling,33705,1027,2021,Male,Pro,Open,United States,North Carolina,20,16860,11579.00
B. Callaway,39015,1022,2021,Male,Pro,Open,United States,Iowa,15,14070,11040.00
H. Young,100965,953,2021,Female,Pro,Open Women,United States,Tennessee,15,2091,10888.00
A. Gossage,35449,1017,2021,Male,Pro,Open,United States,Colorado,23,17142,10633.00
C. Montgomery,35876,1020,2021,Male,Pro,Open,United States,Colorado,19,17817,10314.00
V. Mandujano,62879,950,2021,Female,Pro,Open Women,United States,Texas,15,2406,10284.00
L. Samson,59419,1005,2021,Male,Pro,Open,United States,Illinois,30,20557,10170.00
H. Finley,51277,937,2021,Female,Pro,Open Women,United States,Wisconsin,19,2943,10097.00
C. Messerschmidt,58814,1015,2021,Male,Pro,Open,United States,Washington,27,11245,10064.00
G. Buhr,75412,1027,2021,Male,Pro,Open,United States,Iowa,13,12825,10007.00
T. Gilbert,85850,1022,2021,Male,Pro,Open,Canada,Ontario,22,19340,10002.00
C. Calvin,84958,1023,2021,Male,Pro,Open,United States,California,18,9212,9913.00
J. Baldwin,18114,1001,2021,Male,Pro,Pro Masters 50+,United States,California,10,1492,9598.00
S. Criss,28597,996,2021,Male,Pro,Pro Masters 40+,United States,California,13,2922,9515.00
A. Russell,66362,1018,2021,Male,Pro,Open,United States,Washington,22,19182,9500.00
E. Robinson,50671,1024,2021,Male,Pro,Open,United States,Georgia,18,15200,9375.00
A. Hoop,72423,1021,2021,Male,Pro,Open,United States,California,21,12330,9181.00
D. Beauchamp,76153,1003,2021,Male,Pro,Open,United States,Illinois,27,10815,9016.00
C. O'Reilly,99648,1014,2021,Male,Pro,Open,United States,Texas,27,19487,8813.00
C. Nelson,78697,1020,2021,Male,Pro,Open,United States,Oregon,24,6987,8805.00
D. Schlitter,80219,1013,2021,Male,Pro,Open,United States,Illinois,18,8225,8720.00
C. Redalen,79748,1020,2021,Male,Pro,Open,United States,Oregon,24,12327,8684.00
T. Barham,53332,1017,2021,Male,Pro,Open,United States,Michigan,19,16025,8412.00
A. Fish,58320,1027,2021,Male,Pro,Open,United States,Maryland,13,8820,8291.00
